TransactionID,CustomerID,TransactionDate,ProductID,ProductName,Category,Price,Quantity,TotalAmount,Age,Gender
1,267,2023-02-01,150,college,Clothing,150.31,2,300.62,25,Other
2,704,2023-06-16,108,his,Home & Garden,67.34,4,269.36,48,Male
3,155,2023-01-10,102,wrong,Beauty,59.66,1,59.66,57,Female
4,734,2023-08-20,107,minute,Clothing,88.53,2,177.06,53,Other
5,60,2022-12-29,141,attorney,Home & Garden,127.3,1,127.3,29,Female
6,966,2023-08-13,109,level,Clothing,118.83,5,594.15,35,Male
7,964,2023-09-10,132,heart,Electronics,53.63,2,107.26,20,Other
8,629,2023-10-15,150,somebody,Beauty,107.55,3,322.65,33,Male
9,849,2023-08-16,134,something,Beauty,48.93,2,97.86,24,Female
10,886,2023-05-19,150,quality,Home & Garden,53.9,1,53.9,41,Female
11,253,2023-02-02,137,billion,Electronics,181.42,3,544.26,67,Other
12,575,2023-08-15,149,such,Home & Garden,72.7,3,218.1,24,Male
13,467,2023-01-19,122,bar,Home & Garden,142.77,3,428.31,36,Other
14,605,2023-09-06,147,street,Clothing,92.8,3,278.4,34,Other
15,82,2023-05-21,150,subject,Clothing,101.58,5,507.9,21,Female
16,722,2023-02-25,122,wait,Home & Garden,60.24,4,240.96,31,Female
17,656,2023-03-03,113,they,Clothing,92.63,4,370.52,56,Female
18,294,2022-12-23,149,ready,Beauty,134.43,5,672.15,60,Male
19,71,2023-06-10,110,smile,Clothing,89.12,1,89.12,63,Other
20,135,2023-09-04,135,any,Electronics,37.41,3,112.23,30,Female
21,967,2023-01-05,102,visit,Home & Garden,55.32,4,221.28,33,Male
22,356,2023-09-16,107,organization,Beauty,89.97,2,179.94,38,Female
23,645,2023-05-02,106,sort,Home & Garden,129.89,1,129.89,28,Other
24,157,2023-08-10,102,point,Home & Garden,88.74,1,88.74,32,Male
25,888,2023-03-14,118,budget,Clothing,150.32,4,601.28,59,Female
26,553,2023-04-17,107,management,Clothing,192.03,4,768.12,39,Male
27,675,2023-01-29,104,piece,Home & Garden,125.07,2,250.14,57,Female
28,990,2023-09-23,131,act,Clothing,53.77,3,161.31,40,Other
29,16,2023-09-12,126,discover,Electronics,25.49,2,50.98,70,Female
30,317,2023-09-15,123,phone,Beauty,98.0,3,294.0,48,Male
31,749,2023-03-17,114,career,Beauty,116.69,1,116.69,60,Other
32,847,2023-05-02,128,turn,Home & Garden,181.88,1,181.88,30,Male
33,687,2022-12-14,138,hour,Beauty,132.93,4,531.72,48,Male
34,660,2023-10-24,139,her,Home & Garden,99.85,1,99.85,57,Other
35,935,2023-01-27,106,understand,Beauty,154.62,4,618.48,66,Male
36,630,2023-10-02,120,mind,Clothing,191.02,4,764.08,51,Female
37,642,2023-03-03,142,identify,Home & Garden,165.52,4,662.08,60,Male
38,267,2023-01-19,107,opportunity,Clothing,164.27,1,164.27,44,Female
39,35,2023-05-02,105,president,Electronics,71.56,3,214.68,58,Male
40,143,2023-02-20,142,even,Beauty,168.64,4,674.56,64,Other
